                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2776,                 3.5457,                  2.065,                0.00722,                0.54167,                0.01113,                0.00433,                 1.8359,                 3.6604,                 1.7297,                0.00014,                0.00014,                0.00014
                      2,                 2.0823,                 2.7725,                 1.8559,                0.00972,                0.72917,                0.08943,                0.02572,                 2.2432,                 3.5096,                 1.8658,             0.00029703,             0.00029703,             0.00029703
                      3,                  2.094,                 2.2551,                 1.7807,                0.01028,                0.77083,                0.10992,                0.02153,                 2.1598,                 3.4435,                 1.7386,             0.00045089,             0.00045089,             0.00045089
                      4,                 2.0067,                 2.1032,                 1.6619,                0.01167,                  0.875,                0.13871,                0.04162,                 2.1606,                 3.2432,                 1.7135,             0.00060159,             0.00060159,             0.00060159
                      5,                 2.0192,                 2.1286,                 1.7161,                0.01111,                0.83333,                 0.1982,                0.04577,                 2.1783,                 3.1409,                 1.7886,             0.00074911,             0.00074911,             0.00074911
                      6,                 2.0029,                 2.1027,                 1.6925,                0.13452,                0.70833,                0.46769,                0.12956,                 2.2199,                 2.8041,                 1.8297,             0.00089347,             0.00089347,             0.00089347
                      7,                 2.0229,                 2.0835,                  1.697,                0.68026,                 0.3546,                0.49798,                0.12924,                 2.1787,                 2.5154,                 1.9147,              0.0010347,              0.0010347,              0.0010347
                      8,                 2.0563,                 2.0301,                 1.6719,                0.75685,                0.38928,                0.54321,                0.17303,                 2.1419,                 2.4591,                 1.7348,              0.0011727,              0.0011727,              0.0011727
                      9,                 1.9454,                 1.9025,                 1.5867,                0.39826,                 0.4375,                0.37235,                0.08486,                  2.422,                 2.2578,                 2.0236,              0.0013075,              0.0013075,              0.0013075
                     10,                 1.9666,                 1.9327,                 1.6689,                0.29298,                  0.375,                  0.223,                0.06398,                 2.3617,                 2.3533,                 1.8629,              0.0014392,              0.0014392,              0.0014392
                     11,                 2.0516,                 1.9273,                  1.666,                0.33598,                0.33333,                0.25144,                0.07192,                 2.3668,                 2.7858,                 1.9392,              0.0015677,              0.0015677,              0.0015677
                     12,                  2.007,                 1.8825,                 1.6675,                0.19862,                0.45833,                0.21033,                0.07159,                 2.2499,                 2.9868,                 1.8579,              0.0016931,              0.0016931,              0.0016931
                     13,                 1.9918,                 1.9468,                 1.6583,                0.18208,                0.22917,                0.11044,                0.03559,                 2.3787,                 3.8188,                 2.0163,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.9116,                 1.8429,                 1.6216,                0.13973,                0.20833,                0.08729,                 0.0328,                 2.3917,                  3.992,                  1.985,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9276,                 1.8633,                 1.6206,                0.37362,                0.47917,                0.31694,                0.10978,                 2.1421,                 2.7235,                 1.7252,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.8963,                 1.8263,                 1.5969,                0.44432,                0.44987,                0.44513,                0.14944,                 2.0926,                 2.3986,                  1.769,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.8821,                 1.7492,                 1.5887,                0.62215,                0.54167,                0.59207,                0.21534,                 2.1235,                 2.1168,                 1.7329,               0.001703,               0.001703,               0.001703
                     18,                 1.9477,                 1.6739,                 1.6176,                0.30398,                 0.5096,                0.26584,                0.08649,                 2.2748,                 2.2255,                 1.8537,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9041,                 1.6881,                 1.6225,                0.39582,                0.54599,                0.40273,                 0.1353,                 2.0996,                 2.2079,                 1.7414,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.897,                  1.663,                 1.5871,                0.70351,                 0.6427,                0.61604,                0.18784,                  2.212,                   2.32,                 1.8914,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.8646,                 1.6694,                 1.5652,                 0.5411,                0.58333,                0.59978,                0.19974,                 2.1794,                 1.8691,                 1.8093,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.8578,                 1.6296,                  1.566,                 0.3908,                  0.375,                0.34929,                0.09385,                 2.2759,                 2.2499,                  1.855,               0.001604,               0.001604,               0.001604
                     23,                 1.8181,                 1.5748,                 1.5666,                0.43099,                0.35417,                0.26926,                0.06331,                  2.517,                 2.6371,                 2.0945,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8806,                 1.5283,                  1.534,                0.44072,                0.39583,                0.33937,                0.11274,                 2.2808,                 2.4113,                 1.8315,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.862,                   1.55,                 1.5901,                0.19802,                0.39583,                0.15177,                0.05208,                 2.3605,                 2.6158,                 1.9575,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.8248,                 1.5397,                 1.5465,                0.35056,                0.47238,                0.27338,                0.09196,                 2.2729,                 2.4514,                 1.9138,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.8107,                 1.6052,                 1.5639,                0.60068,                    0.5,                 0.5697,                0.20551,                 2.2485,                 2.0551,                 1.8947,               0.001505,               0.001505,               0.001505
