                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1999,                 4.5142,                 2.0555,                0.00199,                0.05634,                0.00108,                0.00046,                 2.6522,                 4.2088,                 2.3736,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.7727,                  4.181,                 1.8793,                0.00497,                0.14085,                0.00347,                0.00141,                 2.7956,                 4.1237,                 2.0306,             0.00014854,             0.00014854,             0.00014854
                      3,                 2.5706,                 3.6434,                 1.7251,                0.00475,                0.12676,                0.00293,                0.00087,                 2.9504,                 4.0008,                 1.9179,             0.00022876,             0.00022876,             0.00022876
                      4,                 2.2285,                  3.181,                 1.5558,                0.00647,                0.15493,                0.00403,                0.00121,                 2.8261,                 3.9255,                 1.7443,             0.00030732,             0.00030732,             0.00030732
                      5,                 2.4872,                 2.9872,                 1.5641,                0.00341,                0.07042,                0.00207,                 0.0007,                 2.7103,                  3.946,                 1.6026,             0.00038424,             0.00038424,             0.00038424
                      6,                  2.351,                 2.8218,                 1.4525,                0.00361,                0.07042,                0.00383,                0.00092,                 2.7295,                 4.0519,                 1.6261,              0.0004595,              0.0004595,              0.0004595
                      7,                 2.4324,                 2.9848,                 1.5535,                0.00324,                0.07042,                0.00582,                0.00206,                 2.8926,                 4.0934,                 1.6898,             0.00053311,             0.00053311,             0.00053311
                      8,                 2.4143,                 2.8366,                 1.4827,                0.00254,                0.05634,                0.00188,                0.00053,                 2.6809,                 3.9775,                 1.6812,             0.00060508,             0.00060508,             0.00060508
                      9,                 2.3417,                 2.7343,                 1.4844,                0.00604,                0.12676,                 0.0035,                0.00123,                 2.4334,                 3.8156,                 1.6153,             0.00067539,             0.00067539,             0.00067539
                     10,                 2.2069,                 2.7328,                 1.4435,                0.01073,                0.23944,                0.01447,                 0.0047,                 2.4809,                  3.579,                 1.6456,             0.00074405,             0.00074405,             0.00074405
                     11,                 2.3568,                  2.692,                  1.506,                0.01342,                0.32394,                 0.0231,                0.00911,                  2.521,                 3.4606,                 1.6938,             0.00081106,             0.00081106,             0.00081106
                     12,                 2.2867,                 2.7443,                 1.4941,                0.01264,                0.30986,                0.01659,                0.00687,                 2.4023,                 3.4116,                 1.6291,             0.00087642,             0.00087642,             0.00087642
                     13,                 2.4507,                  2.706,                 1.3634,                0.01345,                0.33803,                0.03471,                0.01319,                 2.4038,                 3.4025,                 1.6655,             0.00094013,             0.00094013,             0.00094013
                     14,                 2.2131,                 2.5062,                  1.488,                0.01577,                 0.4507,                0.05999,                0.02343,                 2.5577,                 3.0825,                 1.7749,              0.0010022,              0.0010022,              0.0010022
                     15,                 2.4421,                 2.8419,                 1.6153,                0.11512,                0.14085,                0.04821,                0.01802,                 2.4872,                 2.9346,                  1.704,              0.0010626,              0.0010626,              0.0010626
                     16,                 2.2051,                 2.5598,                 1.4833,                0.01587,                0.50704,                0.05084,                 0.0166,                 2.4203,                 3.0381,                 1.6607,              0.0011214,              0.0011214,              0.0011214
                     17,                 2.3472,                 2.6173,                 1.4546,                0.07225,                0.02817,                0.04522,                0.01506,                 2.5493,                 3.1907,                 1.6865,              0.0011785,              0.0011785,              0.0011785
                     18,                 2.2445,                 2.4248,                 1.3964,                 0.0995,                0.05634,                0.05198,                0.01839,                 2.5688,                 3.0873,                 1.7393,              0.0012339,              0.0012339,              0.0012339
                     19,                 2.2999,                 2.7049,                 1.5328,                0.08772,                0.05634,                0.04539,                 0.0165,                 2.6514,                 3.2035,                 1.7687,              0.0012877,              0.0012877,              0.0012877
                     20,                 2.2172,                  2.407,                  1.415,                0.16124,                0.11268,                0.05983,                0.01928,                 2.6713,                 2.8417,                 1.7806,              0.0013399,              0.0013399,              0.0013399
                     21,                  2.248,                 2.5906,                 1.4712,                0.19625,                0.09859,                0.08973,                0.02968,                 2.6099,                  2.817,                 1.7555,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.1583,                 2.3213,                 1.3917,                0.13781,                0.29577,                0.08331,                0.02658,                  2.614,                 3.0426,                 1.7878,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.2352,                 2.4026,                 1.4073,                0.02374,                0.42254,                0.05049,                 0.0182,                 2.7079,                 3.2679,                 1.8123,              0.0013204,              0.0013204,              0.0013204
